pattern_type,threshold,time,num_of_patterns
closed,5.000000,8,946
closed,6.000000,4,717
closed,7.000000,3,610
closed,8.000000,3,602
closed,9.000000,3,583
closed,10.000000,2,580
closed,11.000000,2,400
closed,12.000000,1,360
closed,13.000000,1,276
closed,14.000000,1,175
closed,15.000000,1,119
closed,16.000000,1,119
closed,17.000000,1,119
closed,18.000000,1,119
closed,19.000000,1,119
closed,20.000000,1,119
closed,21.000000,1,119
closed,22.000000,1,119
closed,23.000000,1,119
closed,24.000000,1,119
closed,25.000000,1,119
closed,26.000000,1,119
closed,27.000000,1,119
closed,28.000000,1,119
closed,29.000000,1,119
closed,30.000000,1,119
maximal,5.000000,11,946
maximal,6.000000,5,717
maximal,7.000000,3,610
maximal,8.000000,4,602
maximal,9.000000,3,583
maximal,10.000000,4,580
maximal,11.000000,1,400
maximal,12.000000,2,360
maximal,13.000000,1,276
maximal,14.000000,1,175
maximal,15.000000,0,119
skyline,5.000000,7,946
skyline,6.000000,5,717
skyline,7.000000,3,610
skyline,8.000000,3,602
skyline,9.000000,3,583
skyline,10.000000,2,580
skyline,11.000000,2,400
skyline,12.000000,1,360
skyline,13.000000,1,276
skyline,14.000000,1,175
skyline,15.000000,0,119
