freq,specialised,postpro,step1,step3,num_of_freq_patterns,num_of_final_patterns
0.4,0.1125,12.8153,0.1138,12.7014,130,4
0.35,0.1280,42.9877,0.1240,42.8637,171,5
0.3,0.1745,124.9020,0.1775,124.7246,253,6
