freq,specialised,postpro,step1,step3,num_of_freq_patterns,num_of_final_patterns
0.4,0.1739,3.5131,0.1719,3.3412,72,7
0.35,0.1662,4.7649,0.1443,4.6206,87,10
0.3,0.1549,12.2648,0.1614,12.1034,127,14
