freq,specialised,postpro,step1,step3,num_of_freq_patterns,num_of_final_patterns
0.4,0.1413,7.6982,0.1279,7.5703,130,56
0.35,0.1411,12.0961,0.1423,11.9538,171,68
0.3,0.1751,23.5646,0.1770,23.3876,253,90
0.25,0.2077,48.1704,0.3439,47.8266,377,116
0.2,0.3007,131.0566,0.2991,130.7576,629,162
0.15,0.6950,570.1055,0.6430,569.4625,1307,236
