freq,specialised,postpro,step1,step3,num_of_freq_patterns,num_of_final_patterns
0.4,0.1281,1.4475,0.1292,1.3182,72,65
0.35,0.1357,2.0294,0.1397,1.8898,87,79
0.3,0.1559,4.0498,0.1609,3.8889,127,111
