freq,specialised,postpro,step1,step3,num_of_freq_patterns,num_of_final_patterns
0.4,0.1016,2.1633,0.1055,2.0579,83,67
0.35,0.1046,2.6488,0.1101,2.5387,101,79
0.3,0.1155,5.2625,0.1188,5.1437,144,108
