frequency,hyppro,dp
0.50,0.047,0.220
0.45,0.056,0.292
0.40,0.071,0.639
0.35,0.103,2.108
0.30,0.176,2.380
0.25,0.203,4.698
0.20,0.318,14.445
0.15,0.560,32.723
0.10,1.652,
0.05,12.921,
