frequency,hyppro,dp
0.50,0.046,0.213
0.45,0.058,0.333
0.40,0.071,0.568
0.35,0.118,0.936
0.30,0.161,1.475
0.25,0.189,2.970
0.20,0.417,5.361
0.15,0.643,9.684
0.10,2.655,20.664
0.05,20.503,62.440
